fund,predict,min,max
2,1502.77,1209.62,1813.53
3,1502.77,1210.68,1802.44
4,1781.86,1356.56,2206.01
5,1046.96,-1487.85,3527.8
6,985.109,249.14,1734.89
7,933.68,313.09,1503.98
8,1424.65,1261.29,1581.51
9,1546.03,1207.17,1871.6
10,2308.77,1688.33,2904.59
11,2088.99,1554.39,2580.21
12,2211.44,1718.46,2693.98
13,1390.6,1070.29,1713.49
14,2034.63,1614.52,2438.48
15,2399.67,1776.72,3025
16,3182,2406.93,3902.84
17,1529.72,1184.39,1904.03
18,2429.44,1778.03,3043.72
19,2593.9,1894.11,3291.68
20,2039.88,1807.05,2266.34
21,2065.24,1586.51,2541.13
22,1984.79,1452.87,2526.11
23,1809.44,1415.68,2200.89
24,1872.88,1425.17,2311.71
25,1516.24,966.56,2042.94
26,2338.47,1794.21,2884.43
27,2335.19,1728.04,2912.11
28,1567.35,1180.6,1960.15
29,2252.33,1887.1,2590.68
30,1750.06,1476.36,2014.94
31,1461.03,1223.44,1694.57
32,1105.54,932.42,1275.08
33,1006.54,779.63,1231
34,1582.14,1274.01,1891.86
35,1599.48,1069.8,2156.34
36,2279.43,1830.04,2710.15
37,1899.59,1544.89,2283.85
38,1530.24,1340.25,1722.95
39,2334.08,1929.34,2721.85
40,1896.23,1582.09,2214.79
41,2075.51,1583.49,2585.93
42,1999.02,1570.02,2436.36
43,1033.89,1031.7,1036.09
44,1326.54,1054.97,1606.51
45,928.47,331.33,1515.95
46,1558.81,1182.88,1886.54
47,1054.89,1037.94,1072.23
48,1363.99,1043.08,1680.81
49,1043.27,913.88,1166.11
50,1475.43,1074.28,1823.99
51,3290.69,2567.69,3996.12
52,1094.2,974.97,1215.92
53,2201.68,1720.27,2696.03
54,1683.56,1265.2,2069.963
55,1663.8,1426.39,1893.64
56,1558.94,1371.38,1763.31
57,1944.11,1629.43,2272.72
58,2265.97,1729.48,2803.47
59,1612.72,1228.32,2008.83
60,1385.59,1234.42,1538.58
61,1252.68,1187.05,1317.17
62,1442.91,1258.56,1626.96
63,1523.18,1331.31,1716.01
64,1079.39,760.94,1407.44
65,2052.84,1558.62,2556.24
66,2105.06,1547.56,2586.38
67,1319.75,944.48,1703.4
68,1419.64,1005.06,1801
69,1253.7,909.28,1611.71
70,1077.49,695.91,1470.19
71,1191.31,810.58,1557.71
72,1360.47,1030.82,1691.98
73,2015.26,1700.69,2333.98
74,2124.32,1778.14,2484.15
75,2371.856,1897.8,2848.61
76,2415.47,1823.12,2987.04
77,1774.28,1296.22,2279.92
78,1613.9,1191.17,2016.4
79,1501.22,1085,1905.57
80,1444.1,863.79,2013.71
81,1464.78,924.25,2005.19
82,1981.49,1596.43,2348.43
83,1231.69,993.94,1479.11
84,1275.91,1014.2,1539.41
85,2374.77,1788.23,2990.25
86,2153.19,1701.19,2621.69
87,927.27,423.96,1417.15
88,1894.26,1463.14,2320.82
89,1738.39,1295.94,2178.94
90,1741.23,1419.42,2042
91,1478.45,1123.64,1843.78
92,1616.45,1168.48,2027.57
93,1264.62,792.39,1750.36
94,1562.35,1116.75,2002.86
95,1596.64,1156.32,2051.34
96,1705.62,1229.19,2164.53
