date,rate
2020-12-08,2055.40 
2020-12-07,2048.91 
2020-12-06,2048.91 
2020-12-05,2048.92 
2020-12-04,2032.05 
2020-12-03,2025.29 
2020-12-02,2008.84 
2020-12-01,1994.07 
2020-11-30,2008.89 
2020-11-29,2008.89 
2020-11-28,2008.89 
2020-11-27,2005.29 
2020-11-26,1996.79 
2020-11-25,2003.28 
2020-11-24,1997.76 
2020-11-23,1977.44 
2020-11-22,1977.44 
2020-11-21,1977.44 
2020-11-20,1975.66 
2020-11-19,1974.45 
2020-11-18,1975.26 
2020-11-17,1975.99 
2020-11-16,1955.75 
2020-11-15,1955.75 
2020-11-14,1955.75 
2020-11-13,1947.67 
2020-11-12,1949.99 
2020-11-11,1937.60 
2020-11-10,1938.53 
2020-11-09,1927.68 
2020-11-08,1927.68 
2020-11-07,1927.68 
2020-11-06,1926.03 
2020-11-05,1905.78 
2020-11-04,1899.59 
2020-11-03,1882.90 
2020-11-02,1872.11 
2020-11-01,1872.11 
2020-10-31,1872.11 
2020-10-30,1895.43 
2020-10-29,1903.99 
2020-10-28,1898.85 
2020-10-27,1906.22 
2020-10-26,1909.36 
2020-10-25,1909.36 
2020-10-24,1909.36 
2020-10-23,1905.39 
2020-10-22,1911.81 
2020-10-21,1909.52 
2020-10-20,1904.82 
2020-10-19,1901.93 
2020-10-18,1901.93 
2020-10-17,1901.93 
2020-10-16,1907.82 
2020-10-15,1914.36 
2020-10-14,1921.18 
2020-10-13,1920.04 
2020-10-12,1917.10 
2020-10-11,1917.10 
2020-10-10,1917.10 
2020-10-09,1917.10 
2020-10-08,1916.32 
2020-10-07,1907.36 
2020-10-06,1907.87 
2020-10-05,1898.27 
2020-10-04,1898.27 
2020-10-03,1898.27 
2020-10-02,1898.27 
2020-10-01,1898.27 
2020-09-30,1898.27 
2020-09-29,1889.43 
2020-09-28,1876.00 
2020-09-27,1876.00 
2020-09-26,1876.00 
2020-09-25,1873.00 
2020-09-24,1893.43 
2020-09-23,1890.63 
2020-09-22,1913.41 
2020-09-21,1920.20 
2020-09-20,1920.20 
2020-09-19,1920.20 
2020-09-18,1918.30 
2020-09-17,1931.75 
2020-09-16,1934.36 
2020-09-15,1925.71 
2020-09-14,1912.60 
2020-09-13,1912.60 
2020-09-12,1912.60 
2020-09-11,1915.11 
2020-09-10,1905.89 
2020-09-09,1915.17 
2020-09-08,1904.28 
2020-09-07,1900.56 
2020-09-06,1900.56 
2020-09-05,1900.56 
2020-09-04,1912.52 
2020-09-03,1899.86 
2020-09-02,1893.84 
2020-09-01,1887.54 
2020-08-31,1901.66 
2020-08-30,1901.67 
2020-08-29,1899.49 
2020-08-28,1906.93 
2020-08-27,1908.19 
2020-08-26,1894.01 
2020-08-25,1884.92 
2020-08-24,1884.92 
2020-08-23,1884.92 
2020-08-22,1884.92 
2020-08-21,1873.62 
2020-08-20,1908.02 
2020-08-19,1904.96 
2020-08-18,1925.48 
2020-08-17,1925.48 
2020-08-16,1925.48 
2020-08-15,1925.49 
2020-08-14,1934.33 
2020-08-13,1933.97 
2020-08-12,1931.32 
2020-08-11,1917.19 
2020-08-10,1904.95 
2020-08-09,1904.94 
2020-08-08,1904.95 
2020-08-07,1900.78 
2020-08-06,1888.18 
2020-08-05,1877.17 
2020-08-04,1867.38 
2020-08-03,1868.17 
2020-08-02,1868.17 
2020-08-01,1868.18 
2020-07-31,1874.71 
2020-07-30,1872.42 
2020-07-29,1868.28 
2020-07-28,1851.48 
2020-07-27,1843.28 
2020-07-26,1843.29 
2020-07-25,1843.29 
2020-07-24,1849.05 
2020-07-23,1853.64 
2020-07-22,1855.08 
2020-07-21,1843.62 
2020-07-20,1844.08 
